titel	datering	pagina	incipit	titel_norm	taal
TEXT000000028824	Gebedenboek; fragm.; Mnl.		 f.?			nederlands	TDRA000000011649
TEXT000000002773	Getijdenboek; 2 dln.; Lat.	1480				latijn	TDRA000000004511
TEXT000000016060	Getijdenboek, met kalender voor het bisdom Utrecht; Mnl.	1450/1475				nederlands	TDRA000000008335
TEXT000000039083	Getijden van alle heiligen		 f.086r-103v				TDRA000000005377
TEXT000000040226	Gebed tot S. Maria		 f.319r-320r	"O heilighe Maria moeder ons heren Jhesu Christi in dinen handen ende in dijns liefs kijnts handen bevele ic huden ende altoes mijn ziele ..."			TDRA000000001354
TEXT000000025482	Salve regina; Lat.		 f.020v-021r	"Salve regina misericordie ..."			TDRA000000000303
TEXT000000035691	Over kerkwijding, met responsorium, versikel en collecte		 f.131r-134r	"O salighe stat Jherusalem ghehieten een scouweinghe des vredes die inden hiemel van leuendighen stenen ghemaect is ..."			TDRA000000007447
TEXT000000037938	Gebed tot S. Gertrudis		 f.216v-217r	"O preciose gemme ende blinckende peerle sancta geertruit Gij sijt een spiegel der reynicheit..."			TDRA000000000336
TEXT000000014139	Horarium (met Franse kalender)					frans;latijn	TDRA000000008220
TEXT000000032698	Gebed op naam van Augustinus		 f.?	"O Here Jhesus Christe almechtige god, du die ons vermans dat wij bidden ende gheves ons al dat wy bidden ..."	Ongespecificeerde Mnl. teksten op naam van Augustinus		TDRA000000005597
TEXT000000013642	Gebed tot Maria op naam van Gregorius		 f.122v-?		Ongespecificeerde Mnl. teksten op naam van Gregorius de Grote		TDRA000000008151
TEXT000000023959	Gebed tot de Drievuldigheid		 f.?	"O werde heilige gloriose drivoldicheit die gemaect heeft hemel ende eerde ende alles dat daer in is ..."			TDRA000000005597
TEXT000000031385	Getijdenboek; Lat.	14??				latijn	TDRA000000013270
TEXT000000002029	Getijdenboek; Lat.	1450				latijn	TDRA000000003072
TEXT000000024763	Gebed		 f.118v-121v	"O here Jhesu Criste, om dier mijnnen wille dat gij u hebt laten besnijden om ons arme sundaren ..."			TDRA000000008006
TEXT000000041851	Gebed tot de hieraan voorafgaande getijden van de passie		 f.108r-110r				TDRA000000005268
TEXT000000038438	Getijden van de eeuwige wijsheid		 f.051r-073r	"Salicheit der zielen ende des lives..."			TDRA000000004311
TEXT000000039040	Gebeden		 f.035r-037r				TDRA000000000435
TEXT000000025469	Lat. gebed van de zeven kruiswoorden van Jezus		 f.011v-013v	"Domine Jhesu Christe qui septem verba die ultimo vite tue in cruce pendens dixisti ..."			TDRA000000008108
TEXT000000032115	Gebed; Lat met Mnl. rubriek		 f.241v	(rubriek) "Diese woerde salmen lesen snachs teghen de temptacie"			TDRA000000008057
TEXT000000027256	Gebed bij de ablutie		 f.122r-123r	"O Alre soetste Jhesu Christi maect mi dronken mitter genuechlicheit ..."			TDRA000000000371
TEXT000000022448	Getijdenboek					onb	TDRA000000009295
TEXT000000025327	Devotieboek. Een regel der zielen. Een schoen exempel. Gebeden. Etc.; Mnl.	15??				nederlands	TDRA000000010470
TEXT000000002940	Gebeden. Etc. Westfaals					duits	TDRA000000004812
TEXT000000038410	Getijden van de eeuwige wijsheid in de vertaling van Geert Grote		 f.036r-050v	"Salicheit der ziel..."			TDRA000000003852
TEXT000000038404	Getijden van de eeuwige wijsheid		 f.057r-081r	"Salicheit der sielen..."			TDRA000000007633
