id	signatuur	aut_id	auteur
TDRA000000003776	BRUSSEL, KB : 5620-25	LEXI000000021592	Meester Wolfs
TDRA000000003776	BRUSSEL, KB : 5620-25	LEXI000000021605	Pater Arijs
TDRA000000003776	BRUSSEL, KB : 5620-25	LEXI000000004114	broeder Aert
TDRA000000003986	BRUSSEL, KB : 21953	LEXI000000003562	Anselmus van Canterbury
TDRA000000003986	BRUSSEL, KB : 21953	LEXI000000003348	Bernardus van Clairvaux
TDRA000000003986	BRUSSEL, KB : 21953	LEXI000000003772	Henricus Suso
TDRA000000003986	BRUSSEL, KB : 21953	LEXI000000020494	Leo de Grote
TDRA000000000525	TILBURG, UB : KHS 10	LEXI000000003325	Geert Grote
TDRA000000002118	GRONINGEN, UB : 405	LEXI000000002360	Jacob van Maerlant
TDRA000000004540	LONDEN, BL : Egerton 677	LEXI000000003704	Jan van Ruusbroec
TDRA000000004024	BRUSSEL, KB : II 469	LEXI000000003810	Jan van Leeuwen
TDRA000000004024	BRUSSEL, KB : II 469	LEXI000000003704	Jan van Ruusbroec
TDRA000000004024	BRUSSEL, KB : II 469	LEXI000000003316	bijbelvertaler van 1360
TDRA000000001160	UTRECHT, UB : Cat. 1035	LEXI000000004074	Alijt Bake
TDRA000000001160	UTRECHT, UB : Cat. 1035	LEXI000000003704	Jan van Ruusbroec
TDRA000000001160	UTRECHT, UB : Cat. 1035	LEXI000000004232	Johannes Tauler
TDRA000000015667	Olim VAN VOORST (Amsterdam) : Cat. 1860, nr. 174	LEXI000000003492	Augustinus
TDRA000000007263	HEIDELBERG, UB : Salem VII 4d	LEXI000000004213	Nicolaas van Straatsburg
TDRA000000007263	HEIDELBERG, UB : Salem VII 4d	LEXI000000005823	Otte van Orleien
TDRA000000003763	BRUSSEL, KB : 4919	LEXI000000003772	Henricus Suso
TDRA000000004971	UTRECHT, MCC : ABM 35	LEXI000000003325	Geert Grote
TDRA000000002521	SINT-PETERSBURG, BSS : Goll. O.I, 2	LEXI000000003360	Hendrik Mande
TDRA000000004636	KOPENHAGEN, KB : Fabricius Oct. 96	LEXI000000004062	Hendrik Herp
TDRA000000004636	KOPENHAGEN, KB : Fabricius Oct. 96	LEXI000000003326	Johannes Scutken
TDRA000000006021	SPAAPEN (Zeist) : z.s.	LEXI000000003325	Geert Grote
TDRA000000000478	UTRECHT, MCC : BMH 58	LEXI000000003772	Henricus Suso
TDRA000000003617	BRUSSEL, KB : 837-45	LEXI000000021725	Chronogrammist
TDRA000000003617	BRUSSEL, KB : 837-45	LEXI000000003720	Heraut Beyeren quondam Gelre
TDRA000000003617	BRUSSEL, KB : 837-45	LEXI000000021384	Pieter den Brant
TDRA000000002284	AMSTERDAM, UB : I G 50	LEXI000000003325	Geert Grote
TDRA000000002284	AMSTERDAM, UB : I G 50	LEXI000000003772	Henricus Suso
TDRA000000002045	DRESDEN, SL : M 285	LEXI000000003325	Geert Grote
TDRA000000015505	STUTTGART, WLB : Brev. 70	LEXI000000004581	Alanus de Rupe
TDRA000000005716	KAAPSTAD, NLSA : Grey 3 a 16	LEXI000000003325	Geert Grote
TDRA000000009699	OXFORD, BL : Douce 110	LEXI000000004758	Ambrosius
